1,43879990,43880837,2022/10/02,873.89
2,43880837,43879990,2022/04/04,868.94
3,43880046,43880900,2022/07/24,847.44
4,43881447,43881183,2022/05/15,303.55
5,43880497,43880909,2023/04/22,362.71
6,43880706,43880298,2022/04/24,796.4
7,43879988,43881119,2022/12/17,701.6
8,43880062,43881094,2022/11/06,646.3
9,43879653,43881317,2023/02/07,272.81
10,43879776,43881512,2022/01/09,777.99
11,43881335,43880816,2021/11/22,627.25
12,43879899,43881295,2022/07/18,433.12
13,43880991,43880440,2022/09/25,451.45
14,43880527,43880471,2022/12/31,574.03
15,43879993,43880042,2022/10/23,720.34
16,43880769,43880159,2022/08/24,157.31
17,43880064,43881364,2021/12/16,355.57
18,43879632,43881285,2022/05/08,385.58
19,43880694,43879935,2022/12/17,487.36
20,43879709,43880803,2022/06/18,113.71
21,43880707,43881001,2022/01/07,331.67
22,43880171,43880499,2022/06/05,303.88
23,43880291,43879878,2022/06/06,952.5
24,43881083,43880439,2023/02/26,392.83
25,43879618,43881376,2022/06/18,208.67
26,43879559,43880384,2022/05/18,154.17
27,43881005,43879669,2021/08/06,4.24
28,43881476,43879863,2022/05/16,118.54
29,43879594,43879838,2022/05/24,104.07
30,43880983,43879654,2022/09/27,225.47
31,43880278,43879855,2022/07/12,393.42
32,43880825,43881227,2022/02/01,254.32
33,43880939,43880780,2022/07/23,11.89
34,43880882,43880199,2022/07/10,686.85
35,43880731,43880538,2022/09/17,730.13
36,43880397,43881390,2022/05/01,358.83
37,43880956,43880268,2022/05/22,449.71
38,43880362,43880125,2022/03/10,846.65
39,43880977,43880101,2022/02/29,274.63
40,43880764,43880966,2022/05/02,891.13
41,43881069,43881261,2022/11/29,526.09
42,43881214,43880869,2023/02/18,643.95
43,43880592,43880020,2022/06/14,878.17
44,43880902,43881127,2022/09/21,399.37
45,43879710,43880605,2022/04/20,276.6
46,43881224,43879566,2022/04/12,956.3
47,43879956,43880362,2022/06/01,71.91
48,43880978,43880696,2021/08/25,728.39
49,43879573,43879859,2022/05/29,83.26
50,43880188,43880225,2022/01/27,723.25
51,43880696,43880741,2022/03/27,597.05
52,43881421,43881168,2021/11/23,617.89
53,43879989,43879587,2022/05/02,580.55
54,43880989,43879604,2023/02/20,878.89
55,43879836,43880261,2021/10/04,522.42
56,43881047,43880468,2022/04/12,669.1
57,43879993,43880848,2023/03/17,709.86
58,43880262,43880764,2022/03/24,690.71
59,43879893,43879903,2022/06/10,873.17
60,43879538,43880525,2023/02/10,761.99
61,43879556,43880172,2021/12/10,610.92
62,43880385,43880495,2021/08/27,285.82
63,43879732,43880842,2022/11/21,190.12
64,43880606,43880224,2022/09/18,312.11
65,43880278,43880302,2022/05/23,721.11
66,43880613,43879525,2022/02/05,270.08
67,43879607,43879873,2022/06/05,215.72
68,43879677,43881469,2022/03/10,114.07
69,43880616,43879769,2022/09/13,641.0
70,43881409,43881243,2022/09/28,47.29
71,43880130,43880541,2022/02/16,451.05
72,43879534,43880418,2022/05/13,761.91
73,43879550,43879747,2023/03/19,50.93
74,43880854,43880128,2022/05/09,552.92
75,43880572,43880594,2022/05/27,920.06
